,avg_queue,avg_speed_mps,avg_wait_sec,episode,number_arrived_car,number_departed_car,number_total_car,step,time_sec
0,0.027777777777777776,12.445041226328907,0.02666666666666667,0,0,0,150,1.0,5
1,0.1597222222222222,12.69198109761199,0.35294117647058826,0,0,1,153,2.0,10
2,0.2986111111111111,10.60152628189728,1.1225806451612903,0,0,0,155,3.0,15
3,0.5486111111111112,8.665103958027204,2.4842767295597485,0,0,0,159,4.0,20
4,0.7430555555555556,6.903021690283164,4.5246913580246915,0,0,1,162,5.0,25
5,0.027777777777777776,12.15498660924342,0.04,1,0,0,150,1.0,5
6,0.16666666666666666,12.261114150409238,0.42483660130718953,1,0,1,153,2.0,10
7,0.3472222222222222,10.147479413451519,1.264516129032258,1,0,0,155,3.0,15
8,0.6111111111111112,8.362380002424143,2.641509433962264,1,0,0,159,4.0,20
9,0.7569444444444444,6.316283465300216,4.672839506172839,1,0,1,162,5.0,25
